"hgnc_symbol","ensembl_transcript_id","cds_length"
"GLMN","ENST00000370360",1785
"GNB2","ENST00000303210",1023
"GP1BA","ENST00000329125",1959
"GREM2","ENST00000318160",507
"GRIN1","ENST00000371561",2817
"GRIN2A","ENST00000330684",4395
"H4C11","ENST00000355057",312
"H4C3","ENST00000377803",312
"HBA2","ENST00000251595",429
"HBG2","ENST00000336906",444
"HLA-DQB1","ENST00000383121",786
"HLA-DRB1","ENST00000399450",801
"HRAS","ENST00000610977",570
"HTR1A","ENST00000323865",1269
"HTT","ENST00000355072",9429
"IKZF1","ENST00000331340",1560
"INF2","ENST00000392634",3750
"IRS2","ENST00000375856",4017
"JUP","ENST00000393931",2238
"KAT5","ENST00000341318",1641
"KCNA2","ENST00000316361",1500
"KCND3","ENST00000302127",1968
"KCNE1","ENST00000399286",390
"KCNJ11","ENST00000339994",1173
"KCNK18","ENST00000334549",1155
"KCNK3","ENST00000302909",1185
"KCNK4","ENST00000422670",1182
"KCNQ3","ENST00000388996",2619
"KCNQ5","ENST00000370398",2799
"KDF1","ENST00000320567",1197
"KRT10","ENST00000269576",1755
"KRT12","ENST00000572470",1485
"KRT13","ENST00000246635",1377
"KRT14","ENST00000167586",1419
"KRT16","ENST00000301653",1422
"KRT2","ENST00000309680",1920
"KRT3","ENST00000417996",1887
"KRT5","ENST00000252242",1773
"KRT6B","ENST00000252252",1695
"KRT9","ENST00000246662",1872
"LAMB3","ENST00000356082",3519
"LEMD3","ENST00000308330",2736
"LITAF","ENST00000622633",486
"LMNB2","ENST00000325327",1863
"LORICRIN","ENST00000368742",939
"LPA","ENST00000316300",6123
"LPL","ENST00000650287",1428
"LRRK2","ENST00000298910",7584
"MAB21L2","ENST00000317605",1080
"MAF","ENST00000326043",1212
"MAFA","ENST00000333480",1062
"MAPT","ENST00000629368",2331
"MB","ENST00000397326",465
"MDM4","ENST00000367182",1473
"MFAP5","ENST00000359478",522
"MITF","ENST00000352241",1581
"MKRN3","ENST00000314520",1524
"MME","ENST00000360490",2253
"MPEG1","ENST00000361050",2151
"MTHFR","ENST00000376590",1971
"MTOR","ENST00000361445",7650
"MUC1","ENST00000620103",1428
"MYBPC1","ENST00000361466",3516
"MYH6","ENST00000405093",5820
"MYL11","ENST00000322861",510
"MYL4","ENST00000393450",594
"MYO6","ENST00000369977",3858
"MYOZ2","ENST00000307128",795
"MYT1L","ENST00000647738",3561
"NANOS1","ENST00000425699",879
"NBEA","ENST00000379939",8904
"NDNF","ENST00000379692",1707
"NEUROD2","ENST00000302584",1149
"NF1","ENST00000358273",8520
"NF2","ENST00000338641",1788
"NKX2-5","ENST00000329198",975
"NOG","ENST00000332822",699
"NOP10","ENST00000709517",219
"NPPA","ENST00000376480",456
"NPTX1","ENST00000306773",1299
"NR2F1","ENST00000327111",1272
"NR2F2","ENST00000394166",1245
"NRIP1","ENST00000318948",3477
"OPA1","ENST00000361510",3048
"OPLAH","ENST00000618853",3867
"P2RX2","ENST00000643471",1416
"P4HB","ENST00000331483",1527
"PACS1","ENST00000320580",2892
"PACS2","ENST00000447393",2715
"PAK2","ENST00000327134",1575
"PAX9","ENST00000361487",1026
"PBX1","ENST00000420696",1293
"PDE3A","ENST00000359062",3426
"PLA2G2A","ENST00000482011",435
"PLAG1","ENST00000316981",1503
"PLCD1","ENST00000334661",2271
"PLCG2","ENST00000564138",3798
"PLEC","ENST00000345136",13644
"PLN","ENST00000357525",159
"POLE","ENST00000320574",6861
"POLR1D","ENST00000302979",402
"POLR2A","ENST00000643490",5913
"POU3F3","ENST00000361360",1503
"PRKAR1B","ENST00000537384",1146
"PRKD1","ENST00000331968",2739
"PRKG1","ENST00000373980",2061
"PRNP","ENST00000379440",762
"PROS1","ENST00000394236",2031
"PRPF8","ENST00000634039",7008
"PSAP","ENST00000394936",1575
"PSMD12","ENST00000356126",1371
"PTCH1","ENST00000331920",4344
"PTEN","ENST00000710387",1731
"PTPN1","ENST00000371621",1308
"PTPN11","ENST00000351677",1782
"PUF60","ENST00000526683",1680
"PURA","ENST00000331327",969
"QRICH1","ENST00000395443",2331
"RAB11B","ENST00000328024",657
"RAX2","ENST00000555633",555
"RELA","ENST00000406246",1656
"RELN","ENST00000428762",10383
"RFX7","ENST00000559447",4383
"RILPL1","ENST00000376874",1212
"RNF213","ENST00000582970",15624
"ROBO2","ENST00000696593",4422
"RORB","ENST00000376896",1380
"RP1L1","ENST00000710836",7182
"RPL15","ENST00000307839",615
"RPL35A","ENST00000647248",333
"RPS17","ENST00000632419",411
"RPS23","ENST00000296674",432
"RPS26","ENST00000646449",348
"RPS27","ENST00000651669",255
"RPS7","ENST00000645674",585
"RYR1","ENST00000359596",15117
"RYR2","ENST00000366574",14904
"SAMD12","ENST00000314727",606
"SAMD9L","ENST00000318238",4755
"SATB1","ENST00000338745",2292
"SCN10A","ENST00000449082",5871
"SCN4B","ENST00000324727",687
"SCN5A","ENST00000423572",6048
"SCN8A","ENST00000627620",5943
"SEPTIN9","ENST00000633557",31
"SETD2","ENST00000409792",7695
"SFTPA2","ENST00000372325",747
"SIAH1","ENST00000394725",849
"SLC17A8","ENST00000323346",1770
"SLCO2A1","ENST00000310926",1932
"SLITRK1","ENST00000674365",2091
"SMAD2","ENST00000262160",1404
"SMARCC1","ENST00000254480",3318
"SNRPE","ENST00000414487",279
"SOCS1","ENST00000332029",636
"SOX11","ENST00000322002",1326
"SOX2","ENST00000325404",954
"SP6","ENST00000536300",1131
"SPG7","ENST00000645818",2388
"SPRY4","ENST00000434127",900
"SPTAN1","ENST00000372739",7434
"SPTBN2","ENST00000533211",7173
"SRC","ENST00000709398",1662
"SRGAP1","ENST00000355086",3258
"SRP72","ENST00000642900",2016
"STAT5B","ENST00000293328",2364
"STING1","ENST00000672865",1140
"SUZ12","ENST00000322652",2220
"SYCP2","ENST00000357552",4593
"SYNGAP1","ENST00000455687",4032
"TBK1","ENST00000331710",2190
"TBL1XR1","ENST00000457928",1545
"TBX1","ENST00000649276",1515
"TCAP","ENST00000309889",504
"TCF4","ENST00000354452",2016
"TEAD1","ENST00000527636",1281
"TET3","ENST00000409262",5388
"TGIF1","ENST00000343820",819
"THBD","ENST00000377103",1728
"THBS2","ENST00000617924",3519
"THSD4","ENST00000261862",3057
"TLR5","ENST00000642603",2577
"TMEM151A","ENST00000327259",1407
"TMEM63A","ENST00000366835",2424
"TOPORS","ENST00000360538",3138
"TPM2","ENST00000645482",855
"TRRAP","ENST00000456197",11622
"TSHZ1","ENST00000580243",3234
"TUBA8","ENST00000330423",1350
"TUBB","ENST00000421473",1335
"TUBB4B","ENST00000340384",1338
"TUBB6","ENST00000317702",1341
"UCP3","ENST00000314032",939
"USP7","ENST00000344836",3309
"VANGL1","ENST00000355485",1575
"WT1","ENST00000452863",1569
"ZBTB18","ENST00000358704",1596
"ZBTB20","ENST00000675478",2226
"ZBTB7A","ENST00000322357",1755
"ZNF292","ENST00000369577",8172
"ZNF408","ENST00000311764",2163
"ZP3","ENST00000394857",1275
"ACKR1","ENST00000368122",1011
"ADH1C","ENST00000515683",1128
"AGBL1","ENST00000614907",3366
"ARL2","ENST00000246747",555
"ARPC4","ENST00000397261",507
"ASPRV1","ENST00000320256",780
"ATXN2","ENST00000673436",3468
"BMPR2","ENST00000374580",3117
"BTNL2","ENST00000613156",1368
"C1QTNF5","ENST00000528368",732
"CDSN","ENST00000376288",1590
"CEACAM16","ENST00000587331",1278
"CEBPA","ENST00000498907",1077
"CFB","ENST00000433503",2295
"CFHR1","ENST00000320493",993
"CFI","ENST00000394634",1752
"CHCHD10","ENST00000620558",450
"COL11A2","ENST00000549811",5211
"COL5A2","ENST00000374866",4500
"CRYBB2","ENST00000398215",618
"CRYGS","ENST00000307944",537
"CSNK2B","ENST00000424502",705
"CUX1","ENST00000292535",4518
"CYP2A6","ENST00000301141",1485
"DCTN1","ENST00000628224",3837
"DHX16","ENST00000450902",2007
"DIO1","ENST00000361921",750
"DNAAF4","ENST00000321149",1263
"DNASE1","ENST00000246949",849
"ERCC6","ENST00000355832",4482
"FOXI3","ENST00000428390",1263
"GABBR1","ENST00000439457",2886
"GDF2","ENST00000581492",1290
"GH1","ENST00000323322",654
"GJA5","ENST00000579774",1077
"GRIN2B","ENST00000609686",4455
"H4C5","ENST00000615164",312
"H4C9","ENST00000615353",312
"HBA1","ENST00000320868",429
"HBB","ENST00000335295",444
"HBG1","ENST00000330597",444
"HLA-G","ENST00000615464",1032
"HMBS","ENST00000652429",1086
"HNF1B","ENST00000610754",1674
"HRURF","ENST00000518377",105
"IFITM5","ENST00000382614",399
"INS","ENST00000381330",333
"INSL3","ENST00000317306",396
"ITGB3","ENST00000559488",2367
"KBTBD13","ENST00000432196",1377
"KCNJ18","ENST00000567955",1302
"KMT2B","ENST00000420124",8148
"KRT6A","ENST00000330722",1695
"KRT81","ENST00000327741",1518
"LGR4","ENST00000379214",2856
"LYN","ENST00000519728",1539
"MAFB","ENST00000373313",972
"MAGEL2","ENST00000672700",3747
"MBD5","ENST00000642680",5184
"MOG","ENST00000449096",888
"NEFL","ENST00000610854",1632
"NOTCH2NLC","ENST00000650865",882
"NR2E3","ENST00000617575",1233
"NRAS","ENST00000369535",570
"OR2J3","ENST00000428081",936
"ORAI1","ENST00000715685",906
"PCGF2","ENST00000631566",1035
"PLEKHM1","ENST00000613787",3171
"POLG2","ENST00000539111",1458
"PPP1CB","ENST00000395366",984
"PRSS1","ENST00000633245",786
"PRSS2","ENST00000632112",744
"PSENEN","ENST00000587708",306
"PSMB10","ENST00000358514",822
"PSMB9","ENST00000427870",660
"RBM12","ENST00000374114",2799
"RBM20","ENST00000369519",3684
"RPS28","ENST00000600659",210
"RPS29","ENST00000245458",171
"RTEL1","ENST00000360203",3903
"SAMD9","ENST00000379958",4770
"SCO2","ENST00000395693",801
"SDHD","ENST00000375549",480
"SHANK3","ENST00000710353",5421
"SLC44A4","ENST00000417894",2133
"SLFN14","ENST00000674182",2739
"SOX18","ENST00000340356",1155
"TAS2R38","ENST00000547270",1002
"TMEM240","ENST00000378733",522
"TNF","ENST00000445232",516
"TNFRSF13B","ENST00000261652",882
"TREX1","ENST00000625293",945
"TRIM71","ENST00000707739",2607
"TUBB3","ENST00000315491",1353
"TUBB8","ENST00000568584",1335
"TWIST2","ENST00000673387",483
"UGT1A1","ENST00000305208",1602
"VAMP2","ENST00000316509",351
"VPS16","ENST00000380445",2520
"ZFP57","ENST00000432222",634
